"call","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","deltaAIC"
"wSom ~ rAir",0.860500334201472,0.859935558226579,2.15357422076644,1523.6135608721,1.23674550741449e-107,1,-543.326750702873,1092.65350140575,1103.20586009514,1145.5568353144,247,249,68.2
"wSom ~ poly(rAir, 2, raw = TRUE)",0.861369658944513,0.860242583000972,2.15121258147144,764.25165835644,2.80911731625564e-106,2,-542.548472341717,1093.09694468343,1107.16675626929,1138.41803038754,246,249,68.6
"wSom ~ poly(rAir, 3, raw = TRUE)",0.874248285804746,0.872708468896233,2.05303168349174,567.761193536203,5.74610433231706e-110,3,-530.409531473977,1070.81906294795,1088.40632743028,1032.66007788813,245,249,46.3
"wSom ~ rAirL1",0.87529813371828,0.874793267862888,2.03614985106103,1733.72416528226,1.18613902647627e-113,1,-529.365770545962,1064.73154109192,1075.28389978132,1024.03883534604,247,249,40.2
"wSom ~ poly(rAirL1, 2, raw = TRUE)",0.87877680827966,0.87779125387543,2.01162507562585,891.65732962847,1.91004184642521e-113,2,-525.843365178668,1059.68673035734,1073.75654194319,995.472319442131,246,249,35.2
"wSom ~ poly(rAirL1, 3, raw = TRUE)",0.895599778905984,0.894321408851771,1.87063649940983,700.579441731159,7.32882802653831e-120,3,-507.242864366045,1024.48572873209,1042.07299321441,857.32382366644,245,249,0
